Date,Close/Last,Volume,Open,High,Low
06/04/2024,$200.07,1486726,$196.27,$200.60,$195.38
06/03/2024,$196.42,1107983,$197.59,$198.86,$188.81
05/31/2024,$197.83,3878345,$193.13,$197.90,$192.61
05/30/2024,$193.13,1496445,$193.71,$194.46,$192.445
05/29/2024,$193.55,1492747,$196.94,$196.94,$193.45
05/28/2024,$197.61,2257961,$196.15,$198.365,$195.26
05/24/2024,$197.00,1880152,$201.00,$201.31,$196.915
05/23/2024,$201.04,1199935,$204.54,$204.885,$200.9075
05/22/2024,$205.57,1148246,$206.41,$207.07,$204.07
05/21/2024,$207.35,1137286,$208.61,$209.65,$206.49
05/20/2024,$208.09,1307077,$207.00,$208.93,$206.54
05/17/2024,$207.04,1180793,$209.40,$209.41,$206.40
05/16/2024,$208.17,1299816,$204.52,$208.26,$204.28
05/15/2024,$205.41,1470839,$208.99,$209.31,$205.30
05/14/2024,$208.89,2094647,$210.00,$211.92,$206.83
05/13/2024,$209.51,2284614,$205.66,$210.23,$205.625
05/10/2024,$204.78,1785202,$200.54,$205.00,$200.49
05/09/2024,$200.09,1471064,$200.40,$200.40,$198.89
05/08/2024,$199.96,2027424,$199.66,$201.49,$197.04
05/07/2024,$198.16,2047329,$197.93,$199.82,$196.35
05/06/2024,$196.49,1775113,$197.94,$198.68,$194.09
05/03/2024,$197.92,3396043,$196.00,$199.06,$191.61
05/02/2024,$195.88,2347637,$195.66,$196.47,$194.13
05/01/2024,$193.70,1794091,$192.33,$195.015,$191.19
04/30/2024,$193.92,3133786,$193.90,$197.71,$193.30
04/29/2024,$192.47,2961417,$187.21,$192.60,$186.83
04/26/2024,$186.16,1186506,$186.44,$188.05,$185.96
04/25/2024,$187.15,1316497,$188.80,$189.21,$185.82
04/24/2024,$188.14,1629940,$185.89,$188.89,$184.915
04/23/2024,$187.08,1288160,$185.83,$188.23,$185.83
04/22/2024,$186.33,1631734,$185.90,$186.445,$184.76
04/19/2024,$185.02,1740253,$185.00,$185.62,$182.84
04/18/2024,$184.86,1415659,$183.30,$185.25,$182.00
04/17/2024,$182.45,1736097,$184.28,$184.4116,$180.44
04/16/2024,$183.31,1621097,$183.14,$184.23,$181.665
04/15/2024,$182.57,2005707,$185.19,$186.02,$182.175
04/12/2024,$185.80,1803377,$189.00,$189.27,$184.58
04/11/2024,$189.50,1301378,$192.37,$192.9023,$188.53
04/10/2024,$192.03,1373592,$192.50,$193.54,$190.67
04/09/2024,$194.58,1352014,$194.57,$194.89,$191.79
04/08/2024,$194.19,1182390,$193.90,$196.10,$193.90
04/05/2024,$193.74,1407489,$195.50,$196.8668,$192.24
04/04/2024,$195.95,1466032,$194.55,$196.73,$193.15
04/03/2024,$194.87,2095509,$200.00,$200.295,$194.79
04/02/2024,$200.55,1993662,$199.62,$201.215,$197.765
04/01/2024,$198.27,1573814,$196.58,$198.94,$194.65
03/28/2024,$194.50,1585082,$195.00,$196.77,$194.27
03/27/2024,$193.71,1446089,$191.94,$194.50,$191.92
03/26/2024,$190.90,2396827,$191.41,$192.80,$189.11
03/25/2024,$192.26,1766175,$197.90,$198.33,$191.64
03/22/2024,$197.99,1127392,$199.60,$199.60,$197.75
03/21/2024,$199.31,2331360,$197.47,$200.655,$196.9461
03/20/2024,$198.03,2347536,$202.20,$204.19,$196.68
03/19/2024,$202.22,2514569,$197.95,$202.475,$197.95
03/18/2024,$197.05,2687962,$193.21,$198.77,$191.79
03/15/2024,$193.54,12184830,$194.44,$198.63,$193.54
03/14/2024,$195.06,2304726,$196.13,$196.53,$193.22
03/13/2024,$195.89,2254376,$197.37,$199.27,$195.82
03/12/2024,$196.47,1957880,$198.75,$199.57,$195.40
03/11/2024,$199.02,2152672,$195.70,$199.30,$195.70
03/08/2024,$194.56,1968926,$192.33,$195.49,$192.14
03/07/2024,$192.52,2179226,$193.08,$193.99,$191.15
03/06/2024,$192.83,2928413,$194.82,$196.84,$191.05
03/05/2024,$187.56,1986317,$184.25,$188.00,$184.25
03/04/2024,$184.00,2729569,$186.77,$186.77,$181.16
03/01/2024,$188.05,1284073,$187.86,$188.5452,$185.84
02/29/2024,$187.92,2160429,$186.68,$188.53,$185.50
02/28/2024,$186.21,1329039,$187.32,$187.87,$184.50
02/27/2024,$187.17,1904969,$188.13,$189.39,$187.07
02/26/2024,$188.61,2032906,$193.95,$194.68,$188.60
02/23/2024,$193.83,1678974,$193.06,$195.32,$192.44
02/22/2024,$193.54,1570551,$191.56,$193.79,$187.99
02/21/2024,$192.49,1244072,$194.80,$195.33,$191.80
02/20/2024,$193.57,1811582,$192.36,$195.11,$192.2393
02/16/2024,$191.16,1595258,$191.25,$193.26,$189.53
02/15/2024,$192.58,1270879,$192.17,$194.85,$192.17
02/14/2024,$191.25,1610564,$193.26,$195.01,$190.41
02/13/2024,$194.84,1977538,$193.52,$197.43,$193.52
02/12/2024,$193.72,3132270,$190.00,$194.62,$189.60
02/09/2024,$195.45,3118468,$201.25,$201.795,$194.67
02/08/2024,$202.31,4712438,$192.20,$209.68,$189.5703
02/07/2024,$194.26,1959314,$195.40,$196.40,$193.77
02/06/2024,$194.78,1602247,$196.41,$196.595,$193.61
02/05/2024,$196.39,1911203,$196.79,$199.5599,$196.27
02/02/2024,$197.66,1761525,$198.54,$199.21,$196.79
02/01/2024,$198.43,1776505,$192.78,$198.53,$190.89
01/31/2024,$193.54,2147811,$197.00,$197.21,$193.38
01/30/2024,$197.38,2355570,$192.99,$197.59,$192.614
01/29/2024,$192.79,1678995,$193.29,$194.63,$191.13
01/26/2024,$190.21,1111072,$189.61,$191.42,$189.61
01/25/2024,$189.36,1401299,$188.84,$190.405,$187.33
01/24/2024,$189.31,1404102,$191.43,$191.43,$189.25
01/23/2024,$192.03,1315004,$188.97,$192.57,$188.80
01/22/2024,$188.26,1143076,$190.27,$190.27,$187.75
01/19/2024,$190.46,1286196,$191.58,$191.85,$188.595
01/18/2024,$191.47,1814973,$191.38,$191.62,$188.24
01/17/2024,$191.54,1428112,$191.16,$193.48,$190.76
01/16/2024,$191.53,1617474,$191.16,$193.67,$190.44
01/12/2024,$190.64,1629897,$193.13,$194.71,$190.20
01/11/2024,$190.41,1284920,$189.12,$190.66,$187.5003
01/10/2024,$189.64,1611626,$193.25,$194.5799,$189.55
01/09/2024,$193.09,1434257,$191.02,$193.15,$189.75
01/08/2024,$191.45,1650867,$187.70,$191.525,$187.70
01/05/2024,$187.64,1237917,$190.02,$190.79,$186.98
01/04/2024,$190.50,1925149,$191.65,$195.65,$190.33
01/03/2024,$191.84,2370532,$192.50,$194.35,$191.37
01/02/2024,$192.03,2359050,$185.53,$192.225,$185.45
12/29/2023,$186.44,1591760,$184.07,$186.77,$183.785
12/28/2023,$184.11,1122188,$183.10,$184.7799,$182.91
12/27/2023,$183.92,860140,$183.17,$184.03,$182.90
12/26/2023,$183.40,703119,$182.30,$183.98,$181.5632
12/22/2023,$182.52,1214990,$181.75,$183.79,$181.51
12/21/2023,$181.00,1326615,$179.75,$181.05,$178.82
12/20/2023,$179.52,1634620,$181.50,$182.7593,$179.36
12/19/2023,$182.55,1651108,$182.49,$183.51,$181.72
12/18/2023,$182.26,1800763,$182.39,$184.14,$181.27
12/15/2023,$181.71,3532420,$183.93,$185.18,$181.47
12/14/2023,$186.21,1968489,$189.20,$189.70,$184.605
12/13/2023,$188.79,1281000,$184.92,$188.96,$184.37
12/12/2023,$184.69,1354168,$186.74,$186.75,$184.207
12/11/2023,$186.28,1198800,$186.20,$187.00,$185.07
12/08/2023,$185.74,1505125,$188.50,$188.645,$184.50
12/07/2023,$189.06,1496752,$189.21,$191.62,$187.51
12/06/2023,$189.20,973178,$187.17,$190.10,$187.17
12/05/2023,$187.93,952268,$190.81,$191.2062,$187.105
12/04/2023,$190.62,1024278,$190.65,$192.49,$189.65
12/01/2023,$190.98,1262863,$188.21,$191.02,$187.80
11/30/2023,$187.92,2799622,$186.00,$188.13,$184.19
11/29/2023,$185.72,1168378,$188.00,$188.385,$185.67
11/28/2023,$188.99,1396816,$188.44,$189.54,$187.9059
11/27/2023,$188.40,1246694,$191.70,$192.00,$188.15
11/24/2023,$191.68,773399,$192.71,$192.71,$189.81
11/22/2023,$191.61,1302589,$191.59,$192.74,$190.68
11/21/2023,$190.59,1474848,$190.30,$192.01,$189.11
11/20/2023,$193.07,1288822,$195.05,$195.40,$192.23
11/17/2023,$196.00,1074738,$196.36,$197.08,$194.57
11/16/2023,$195.84,1335374,$194.89,$197.59,$194.11
11/15/2023,$195.72,1535899,$199.00,$199.91,$195.31
11/14/2023,$197.84,1606141,$195.50,$198.31,$195.25
11/13/2023,$194.70,2123525,$191.48,$195.41,$191.48
11/10/2023,$191.48,1442360,$188.93,$191.98,$188.50
11/09/2023,$188.62,1134733,$189.76,$190.595,$187.72
11/08/2023,$189.02,1036511,$187.62,$189.07,$187.06
11/07/2023,$187.49,1018808,$187.30,$188.065,$185.79
11/06/2023,$187.66,1741350,$188.11,$189.62,$186.98
11/03/2023,$187.99,978902,$190.98,$191.47,$187.93
11/02/2023,$189.55,969913,$187.92,$191.055,$187.585
11/01/2023,$187.85,1206016,$188.01,$189.42,$185.87
10/31/2023,$187.35,1303211,$187.35,$188.215,$185.13
10/30/2023,$185.98,1405042,$184.55,$186.38,$183.735
10/27/2023,$184.11,2067056,$187.41,$188.11,$183.96
10/26/2023,$189.05,3021677,$191.00,$194.98,$186.72
10/25/2023,$194.47,2055632,$190.03,$194.70,$189.51
10/24/2023,$190.29,1551935,$189.67,$190.915,$188.93
10/23/2023,$189.20,1495884,$190.76,$192.29,$188.7075
10/20/2023,$190.94,1324782,$192.23,$193.49,$190.91
10/19/2023,$191.58,1462683,$191.50,$193.30,$190.805
10/18/2023,$191.20,1472550,$191.89,$192.96,$190.255
10/17/2023,$190.77,1227227,$190.70,$192.65,$190.13
10/16/2023,$191.83,1733912,$191.45,$192.93,$190.30
10/13/2023,$190.86,1761987,$188.60,$192.33,$188.08
10/12/2023,$187.65,1951449,$191.50,$192.00,$186.625
10/11/2023,$191.77,1559410,$195.35,$195.5759,$190.91
10/10/2023,$194.34,1116350,$196.77,$197.50,$194.21
10/09/2023,$195.72,1182641,$194.56,$195.77,$193.65
10/06/2023,$195.04,1876156,$194.80,$195.73,$190.13
10/05/2023,$195.51,1894904,$198.45,$201.15,$195.14
10/04/2023,$198.92,1422971,$197.85,$198.96,$194.635
10/03/2023,$197.18,1679430,$198.12,$199.59,$196.72
10/02/2023,$199.01,1483148,$199.53,$200.19,$196.99
09/29/2023,$200.08,1406694,$202.84,$202.84,$199.30
09/28/2023,$201.84,1591910,$202.97,$203.91,$200.50
09/27/2023,$202.56,1137448,$204.90,$205.675,$201.845
09/26/2023,$205.20,1118594,$205.59,$205.99,$204.005
09/25/2023,$205.97,1409792,$207.00,$208.32,$204.61
09/22/2023,$207.94,2468001,$208.00,$210.29,$207.38
09/21/2023,$208.15,1516112,$211.22,$211.70,$208.04
09/20/2023,$211.33,1311708,$210.21,$212.14,$208.25
09/19/2023,$209.07,1534184,$212.34,$212.845,$208.62
09/18/2023,$212.46,985067,$213.12,$213.718,$210.49
09/15/2023,$212.36,2600953,$211.82,$213.855,$211.24
09/14/2023,$211.79,1157579,$210.02,$212.47,$209.40
09/13/2023,$209.71,1155862,$209.23,$210.74,$207.82
09/12/2023,$207.59,1293102,$211.54,$211.805,$206.69
09/11/2023,$212.03,1047835,$209.00,$212.229,$208.955
09/08/2023,$209.03,984053,$209.34,$209.67,$207.50
09/07/2023,$208.99,1079130,$211.50,$212.75,$208.6246
09/06/2023,$210.39,1006487,$212.18,$212.68,$210.08
09/05/2023,$212.10,1087157,$213.67,$214.665,$211.33
09/01/2023,$213.85,1221700,$214.75,$215.20,$213.225
08/31/2023,$214.86,1442938,$217.43,$217.44,$214.81
08/30/2023,$217.31,1041786,$218.16,$219.92,$217.01
08/29/2023,$217.69,1335416,$219.06,$219.42,$216.5825
08/28/2023,$218.01,603353,$217.35,$218.64,$217.295
08/25/2023,$217.31,1390214,$215.14,$217.975,$214.65
08/24/2023,$213.88,1278085,$215.69,$216.77,$213.84
08/23/2023,$215.32,872511,$214.36,$215.68,$214.14
08/22/2023,$213.85,1532024,$217.04,$217.83,$213.71
08/21/2023,$216.29,1640303,$217.99,$218.50,$215.48
08/18/2023,$218.78,1142568,$217.65,$221.27,$217.6452
08/17/2023,$217.52,1634679,$218.93,$219.29,$217.23
08/16/2023,$219.49,1068235,$221.45,$222.2699,$219.0275
08/15/2023,$220.71,969053,$224.00,$224.10,$220.58
08/14/2023,$224.36,1504550,$224.49,$224.80,$222.79
08/11/2023,$223.57,842537,$224.66,$225.70,$223.25
08/10/2023,$223.79,979558,$225.63,$227.655,$223.20
08/09/2023,$225.65,1079409,$225.15,$226.38,$224.23
08/08/2023,$224.30,1296472,$230.22,$230.69,$223.79
08/07/2023,$228.88,900800,$228.56,$229.725,$228.08
08/04/2023,$228.23,830786,$231.42,$232.26,$228.12
08/03/2023,$231.03,969229,$232.28,$233.21,$230.08
08/02/2023,$233.19,1142127,$231.00,$235.80,$230.50
08/01/2023,$230.59,1518800,$232.03,$232.82,$229.73
07/31/2023,$231.31,1691202,$235.64,$235.71,$230.492
07/28/2023,$235.64,1622118,$234.72,$237.6625,$234.11
07/27/2023,$233.56,2415048,$236.00,$238.09,$231.61
07/26/2023,$240.44,1458455,$243.00,$243.01,$240.005
07/25/2023,$244.00,983188,$245.60,$245.81,$243.13
07/24/2023,$245.82,760674,$246.34,$247.11,$245.20
